TYPE;ELEMENT;CODE;LIBCODE
H;IJIGTICKRE;0;Pas de calcul de ticket
H;IJIGTICKRE;1;Calcul de ticket
H;IJIREGCPAN;0;Pas de régime de congé d'ancienneté
H;IJIREGCPAN;1;Régime 1
H;IJIREGCPAN;2;Régime 2
H;IJIREGCPAN;3;CCN Metallurgie
H;IMIACTI;0;N'alimente pas l'activité
H;IMIACTI;1;Alimente l'activité
H;IMIALIGA;0;Pas alimenté par l'activité
H;IMIALIGA;1;Alimenté par l'activité
H;IMIGDURABS;C5;1/5ième du contrat
H;IMIGDURABS;C6;1/6ième du contrat
H;IMIGDURABS;C7;1/7ième du contrat
H;IMIGDURABS;FIX;Durée fixe (définie dans valeur par défaut)
H;IMIGDURABS;H5;1/5ième du contrat hebdomadaire
H;IMIGDURABS;H6;1/6ième du contrat hebdomadaire
H;IMIGDURABS;H7;1/7ième du contrat hebdomadaire
H;IMIGDURABS;PLG;Temps planifié
H;IMIGTPAUS5;0;Ne participe pas au temps de pause
H;IMIGTPAUS5;1;Participe au temps de pause
H;IMIGTPAUSE;0;Ne participe pas au temps de pause
H;IMIGTPAUSE;1;Participe au temps de pause
H;IMIGTTEFFE;0;Pas de crédit
H;IMIGTTEFFE;1;Crédit
H;IMIGTTEFFE;2;Débit
H;IMIGTTEFFE;3;Valeur neutre
H;IMIINTOUTL;0;Le motif n'est pas interfacé
H;IMIINTOUTL;1;Le motif est interfacé et non confidentiel
H;IMIINTOUTL;2;Le motif est interfacé et confidentiel
H;IMIMINOCP;0;Pas d'abattement CP
H;IMIMINOCP;1;Abattement CP dès le 1er jour
H;IMIMINOCP;2;Acquisition partielle avec report (Maladie)
H;IMIMINOCP;3;Acquisition CP avec report (AT)
H;IMITTECP;0;Sans effet sur le droit aux congés
H;IMITTECP;1;Supprime le droit aux congés
H;IMIVISITER;1;Arrêt maladie/accident non professionnel
H;IMIVISITER;2;Arrêt accident de travail
H;IMIVISITER;3;Arrêt maladie professionnelle
H;INMISS;0;Mission non autorisée
H;INMISS;1;Mission autorisée
H;INMISS;2;Mission maintenue le lendemain
H;INMISS;3;Mission du lendemain autorisée
H;INMOD;0;Pas de suivi analytique
H;INMOD;1;Analytique badgé
H;INMOD;2;Analytique manuel
H;INRECOND;0;CDCG fiche employé
H;INRECOND;1;CDCG jours en cours
H;INRECOND;2;CDCG de la veille
H;INSALA;0;Salarié non transféré
H;INSALA;1;Salarié transféré
H;IPIFPAUSBA;0;Pause non badgée
H;IPIFPAUSBA;1;Pause badgée
H;IPIGABSPLF;0;Pas de contrôle
H;IPIGABSPLF;1;Temps d'absence plages
H;IPIGABSPLF;2;Calcul du retard
H;IPIGMISSTH;0;Complément   Fin sans retour
H;IPIGMISSTH;1;Complément à la théorie
H;IPIGPAUSME;0;Pause non créditée dans les h. totales / h. effectives
H;IPIGPAUSME;1;Pause créditée dans les h. totales / h. effectives
H;IPIGPAUSME;2;Pause non créditée dans les h. totales
H;IPIGPAUSME;3;Pause créditée dans les h. totales
H;IPIGPAUSME;4;Pause 5%
H;ISIACTI;0;Pas géré en activité
H;ISIACTI;1;Horodaté
H;ISIACTI;2;Déclaratif
H;ISIACTI;3;Mixte
H;ISIACTI;4;Chantier
H;MEHANDI;1;Déficient visuel
H;MEHANDI;2;Déficient auditif
H;TTTITRE;1;Carte Orange
H;TTTITRE;2;Coupon Fréquence SNCF
H;TYPEPLAN;0;Non optimisable
H;TYPEPLAN;1;Sur horaires libres
H;TYPEPLAN;2;Sur profil courant
H;TYPEPLAN;5;Sur type horaire
H;TYPEPLAN;6;Sur horaires minutes
H;TYPMAT;1;Maladie
H;TYPMAT;2;Maternité / adoption
H;TYPMAT;3;Paternité / accueil de l'enfant
H;TYPMAT;4;Congé suite à un accident de trajet
H;TYPMAT;5;Congé suite à maladie professionnelle
H;IMICONTCPS;0;Pas de pose sur jours non travaillés
H;TYPMAT;6;Congé suite à accident de travail ou de service
H;TYPMAT;7;Femme enceinte dispensée de travail
H;TYPMAT;8;Temps partiel thérapeutique
H;TYPMAT;AT;Accidents
H;TYPMAT;MA;Maladies
H;VHMODELE;1;Renault
H;VHMODELE;2;Citroën
H;VHMODELE;3;Peugeot
H;VHTYPE;1;Véhicule de location
H;VHTYPE;2;Véhicule personnel
H;VHTYPE;3;Véhicule société
H;VMMOTIF;1;Embauche
H;VMMOTIF;2;Périodique
H;VMMOTIF;3;Reprise
H;VMMOTIF;4;Pré-reprise
H;TYPCTRA;CDD;Contrat à Durée Déterminée
H;TYPCTRA;CDI;Contrat à Durée Indéterminée
H;TYPCTRA;CTA;Contrat Temporaire Annuel
H;TYPCTRA;CTT;Contrat de Travail Temporaire
H;TYPCTRA;INT;Contrat Intérimaire
H;IDIHDEBP;0;Lundi début de poste -> dimanche fin de poste
H;IDIHDEBP;1;Lundi 00h -> Dimanche 23h59
H;IMISTATUT;OOF;Absent(e) du bureau
H;IMISTATUT;FREE;Disponible
H;IMISTATUT;BUSY;Occupé(e)
H;IMISTATUT;TENTATIVE;Provisoire
H;IMISTATUT;WE;Télétravail (Exchange 365 uniquement)
H;IHIGMAINCP;1;Année civile (CFG)
H;IMITTEFFFJ;0;Ne participe pas
H;IMITTEFFFJ;1;Participe
H;IMITTEFFFJ;2;Absence assimilée à du temps de travail effectif
H;IMICONTCPS;1;Pose sur jours non travaillés
H;IMIGDURABS;PRO;Durée renseignée dans le profil [PAR DEFAUT]
