LANGUE;MODULE;FONCT;NUMERO;GRAVITES;GRAVITEP;LIBS;LIBP
"F";"HR";"ANO";"0079";" ";" ";" ";" "
"F";"HR";"ANO";"0080";"5";" ";"Anomalies ATLAS";" "
"F";"HR";"ANO";"0081";" ";" ";" ";" "
"F";"HR";"ANO";"0082";" ";" ";" ";" "
"F";"HR";"ANO";"0083";"5";" ";"Déclaration interdite";" "
"F";"HR";"ANO";"0030";" ";" ";"XXXXXXXXXX Compteur de présence à afficher";"IJQPRESBAJ"
"F";"HR";"ANO";"0054";"5";"5";"XXXXXXXXXX Indicateur de suivi des heures supp pour l'analytique (MOTI)";"IJQHANAVEN"
"F";"HR";"ANO";"0056";" ";" ";" ";"XXXXXXXXXX"
"F";"HR";"ANO";"0057";"5";"5";"XXXXXXXXXX Indicateur d'export de la répartition par section (HJOU)";"XXXXXXXXXX"
"F";"HR";"ANO";"0084";"5";" ";"Une ou plusieurs valeurs sont en erreur";" "
"F";"HR";"ANO";"0085";"5";" ";"Déclaration acquise en mode dégradé";" "
"F";"HR";"ANO";"0086";" ";" ";"TRIGGER";" "
"F";"HR";"ANO";"0087";" ";" ";"TRIGGER";" "
"F";"HR";"ANO";"0088";" ";" ";"TRIGGER";" "
"F";"HR";"ANO";"0089";" ";" ";"TRIGGER";" "
"F";"HR";"ANO";"0090";" ";" ";"TRIGGER";" "
"F";"HR";"ANO";"0091";" ";" ";"TRIGGER";" "
"F";"HR";"ANO";"0092";" ";" ";"TRIGGER";" "
"F";"HR";"ANO";"0093";" ";" ";"TRIGGER";" "
"F";"HR";"ANO";"0094";" ";" ";"TRIGGER";" "
"F";"HR";"ANO";"0095";" ";" ";"TRIGGER";" "
"F";"HR";"ANO";"0096";" ";" ";"TRIGGER";" "
"F";"HR";"ANO";"0097";" ";" ";"TRIGGER";" "
"F";"HR";"ANO";"0098";" ";" ";"TRIGGER";" "
"F";"HR";"ANO";"0099";" ";" ";"TRIGGER";" "
"F";"HR";"ANO";"0100";" ";" ";"TRIGGER";" "
"F";"HR";"ANO";"0102";" ";" ";" ";" "
"F";"HR";"ANO";"0107";" ";" ";" ";" "
"F";"HR";"ANO";"0122";" ";" ";" ";" "
"F";"HR";"ANO";"0128";" ";" ";" ";" "
"F";"HR";"ANO";"0129";" ";" ";" ";" "
"F";"HR";"ANO";"0137";" ";" ";" ";" "
"F";"HR";"ANO";"0145";" ";" ";" ";" "
"F";"HR";"ANO";"0146";" ";" ";" ";" "
"F";"HR";"ANO";"0148";" ";" ";" ";" "
"F";"HR";"ANO";"0197";" ";" ";" ";" "
"F";"HR";"ANO";"0200";" ";" ";" ";" "
"F";"HR";"ANO";"0231";" ";" ";" ";" "
"F";"HR";"ANO";"0232";" ";" ";" ";" "
"F";"HR";"ANO";"0233";" ";" ";" ";" "
"F";"HR";"ANO";"0234";" ";" ";" ";" "
"F";"HR";"ANO";"0235";" ";" ";" ";" "
"F";"HR";"ANO";"0236";" ";" ";" ";" "
"F";"HR";"ANO";"0116";"6";"6";"Présence supérieure au maximum";"Présence supérieure au maximum"
"F";"HR";"ANO";"0104";"4";"4";"Ecrétage du crédit/débit journalier";"Ecrétage du crédit/débit journalier"
"F";"HR";"ANO";"0101";"9";"9";"Il manque un badgeage en sortie";"Il manque un badgeage en sortie"
"F";"HR";"ANO";"0192";"9";"9";"Heures non majorées payées négatives";"Heures non majorées payées négatives"
"F";"HR";"ANO";"0206";"8";"8";"Date de fin de mandat DS non renseignée";"Date de fin de mandat DS non renseignée"
"F";"HR";"ANO";"0212";"8";"8";"Date de début de mandat DFS non renseignée";"Date de début de mandat DFS non renseignée"
"F";"HR";"ANO";"0226";"9";"9";"Solde récup HS/HC insuffisant";"Solde récup HS/HC insuffisant"
"F";"HR";"ANO";"0134";"5";"5";"Prise de congés anticipés";"Prise de congés anticipés"
"F";"HR";"ANO";"0154";"5";"5";"Crédit du temps de pause seconde plage";"Crédit du temps de pause seconde plage"
"F";"HR";"ANO";"0182";"9";"9";"Solde RC nuit insuffisant";"Solde RC nuit insuffisant"
"F";"HR";"ANO";"0188";"9";"9";"Solde don jours d'absences insuffisant";"Solde don jours d'absences insuffisant"
"F";"HR";"ANO";"0198";"8";"8";"Solde congé payé insuffisant";"Solde congé payé insuffisant"
"F";"HR";"ANO";"0213";"8";"8";"Pas de mandat délégation DFS";"Pas de mandat délégation DFS"
"F";"HR";"ANO";"0125";"8";"8";"Employé absent matin sans justificatif";"Employé absent matin sans justificatif"
"F";"HR";"ANO";"0141";"5";"5";"Crédit du temps de pause première plage";"Crédit du temps de pause première plage"
