LANGUE;MODULE;FONCT;NUMERO;GRAVITES;GRAVITEP;LIBS;LIBP
"F";"HR";"ANO";"0475";" ";" ";" ";" "
"F";"HR";"ANO";"0476";" ";" ";" ";" "
"F";"HR";"ANO";"0477";" ";" ";" ";" "
"F";"HR";"ANO";"0478";" ";" ";" ";" "
"F";"HR";"ANO";"0479";" ";" ";" ";" "
"F";"HR";"ANO";"0480";" ";" ";" ";" "
"F";"HR";"ANO";"0481";" ";" ";" ";" "
"F";"HR";"ANO";"0482";" ";" ";" ";" "
"F";"HR";"ANO";"0483";" ";" ";" ";" "
"F";"HR";"ANO";"0484";" ";" ";" ";" "
"F";"HR";"ANO";"0485";" ";" ";" ";" "
"F";"HR";"ANO";"0486";" ";" ";" ";" "
"F";"HR";"ANO";"0487";" ";" ";" ";" "
"F";"HR";"ANO";"0488";" ";" ";" ";" "
"F";"HR";"ANO";"0489";" ";" ";" ";" "
"F";"HR";"ANO";"0490";" ";" ";" ";" "
"F";"HR";"ANO";"0491";" ";" ";" ";" "
"F";"HR";"ANO";"0492";" ";" ";" ";" "
"F";"HR";"ANO";"0493";" ";" ";" ";" "
"F";"HR";"ANO";"0494";" ";" ";" ";" "
"F";"HR";"ANO";"0495";" ";" ";" ";" "
"F";"HR";"ANO";"0496";" ";" ";" ";" "
"F";"HR";"ANO";"0497";" ";" ";" ";" "
"F";"HR";"ANO";"0498";" ";" ";" ";" "
"F";"HR";"ANO";"0499";" ";" ";" ";" "
"F";"HR";"ANO";"0106";"5";"5";"Nombre de badgeages insuffisant";"Nombre de badgeages insuffisant"
"F";"HR";"ANO";"0183";"7";"7";"Durée du repos hebdomadaire non respecté";"Durée du repos hebdomadaire non respecté"
"F";"HR";"ANO";"0190";"9";"9";"Solde RTT insuffisant pour transfert en don jours d'absence";"Solde RTT insuffisant pour transfert en don jours d'absence"
"F";"HR";"ANO";"0199";"8";"8";"Solde report congé pour maladie insuffisant";"Solde report congé pour maladie insuffisant"
"F";"HR";"ANO";"0208";"8";"8";"Pas de mandat délégation DS";"Pas de mandat délégation DS"
"F";"HR";"ANO";"0217";"7";"7";"Solde annuel délégation CSE négatif";"Solde annuel délégation CSE négatif"
"F";"HR";"ANO";"0225";"6";"6";"Nombre maxi d'heures complémentaires atteint pour ce contrat";"Nombre maxi d'heures complémentaires atteint pour ce contrat"
"F";"HR";"ANO";"0120";"8";"8";"Badgeages pour employé présumé absent l'après-midi";"Badgeages pour employé présumé absent l'après-midi"
"F";"HR";"ANO";"0135";"5";"5";"Solde RTT insuffisant";"Solde RTT insuffisant"
"F";"HR";"ANO";"0157";"8";"8";"Solde CET insuffisant";"Solde CET insuffisant"
"F";"HR";"ANO";"0169";"9";"9";"Solde congés fractionnement insuffisant";"Solde congés fractionnement insuffisant"
"F";"HR";"ANO";"0176";"8";"8";"Visite médicale de reprise à planifier dans les 8 jours";"Visite médicale de reprise à planifier dans les 8 jours"
"F";"HR";"ANO";"0194";"9";"9";"Solde insuffisant";"Solde insuffisant"
"F";"HR";"ANO";"0207";"8";"8";"Date de début de mandat DS non renseignée";"Date de début de mandat DS non renseignée"
"F";"HR";"ANO";"0221";"7";"7";"Valorisation en heures interdite aux forfaits jour";"Valorisation en heures interdite aux forfaits jour"
"F";"HR";"ANO";"0257";"8";"8";"Suspicion d'abandon de poste";"Suspicion d'abandon de poste"
"F";"HR";"ANO";"0121";"6";"6";"Absence de badgeages dans la coupure déjeuner, retrait du maximum";"Absence de badgeages dans la coupure déjeuner, retrait du maximum"
"F";"HR";"ANO";"0132";"5";"5";"Repos quotidien inférieur à 11h00";"Repos quotidien inférieur à 11h00"
"F";"HR";"ANO";"0136";"5";"5";"Nbre de jours RTT employeur supérieur au seuil autorisé";"Nbre de jours RTT employeur supérieur au seuil autorisé"
"F";"HR";"ANO";"0150";"5";"5";"Retrait du temps de pause forfaitaire seconde plage";"Retrait du temps de pause forfaitaire seconde plage"
"F";"HR";"ANO";"0155";"5";"5";"Chevauchement d'absence et d'heures badgées";"Chevauchement d'absence et d'heures badgées"
"F";"HR";"ANO";"0164";"8";"8";"Moins de 18 ans : le nombre d'HS maximum est atteint";"Moins de 18 ans : le nombre d'HS maximum est atteint"
"F";"HR";"ANO";"0168";"8";"8";"Solde congés ancienneté insuffisant";"Solde congés ancienneté insuffisant"
"F";"HR";"ANO";"0175";"5";"5";"Temps analytique imputé supérieur au temps à ventiler";"Temps analytique imputé supérieur au temps à ventiler"
"F";"HR";"ANO";"0147";"5";"5";"Abattement de RTT";"Abattement de RTT"
"F";"HR";"ANO";"0205";"8";"8";"La date de fin de mandat DS est inférieure à la date de début";"La date de fin de mandat DS est inférieure à la date de début"
"F";"HR";"ANO";"0211";"8";"8";"Date de fin de mandat DFS non renseignée";"Date de fin de mandat DFS non renseignée"
"F";"HR";"ANO";"0218";"7";"7";"Dépassement du droit maximum CSE annuel";"Dépassement du droit maximum CSE annuel"
"F";"HR";"ANO";"0229";"8";"8";"Solde congé supplémentaire insuffisant pour transfert en CET";"Solde congé supplémentaire insuffisant pour transfert en CET"
"F";"HR";"ANO";"0114";"5";"5";"Absence en coupure déjeuner inférieure au minimum, retrait du minimum";"Absence en coupure déjeuner inférieure au minimum, retrait du minimum"
"F";"HR";"ANO";"0119";"8";"8";"Badgeages pour employé présumé absent le matin";"Badgeages pour employé présumé absent le matin"
"F";"HR";"ANO";"0126";"8";"8";"Employé absent après-midi sans justificatif";"Employé absent après-midi sans justificatif"
"F";"HR";"ANO";"0127";"8";"8";"Badgeages pour employé présumé non badgeant";"Badgeages pour employé présumé non badgeant"
"F";"HR";"ANO";"0131";"5";"5";"La moyenne sur 12 semaines est supérieure à la durée légale";"La moyenne sur 12 semaines est supérieure à la durée légale"
"F";"HR";"ANO";"0138";"5";"5";"Retrait du temps de pause forfaitaire première plage";"Retrait du temps de pause forfaitaire première plage"
"F";"HR";"ANO";"0142";"5";"5";"Absence de badgeage en pause première plage";"Absence de badgeage en pause première plage"
"F";"HR";"ANO";"0144";"5";"5";"Pas de retour sur une sortie avec motif";"Pas de retour sur une sortie avec motif"
"F";"HR";"ANO";"0149";"5";"5";"La consigne ZRAZCT doit être positionnée sur la date de début de contrat";"La consigne ZRAZCT doit être positionnée sur la date de début de contrat"
"F";"HR";"ANO";"0153";"5";"5";"Retrait du complément de temps de pause seconde plage";"Retrait du complément de temps de pause seconde plage"
"F";"HR";"ANO";"0160";"8";"8";"Moins de 18 ans : durée du repos quotidien non respecté";"Moins de 18 ans : durée du repos quotidien non respecté"
"F";"HR";"ANO";"0163";"7";"7";"Repos quotidien réduit : alimentation compteur RC repos réduit";"Repos quotidien réduit : alimentation compteur RC repos réduit"
"F";"HR";"ANO";"0165";"6";"6";"Moins de 18 ans : jour férié travaillé si dérogation légale";"Moins de 18 ans : jour férié travaillé si dérogation légale"
"F";"HR";"ANO";"0167";"8";"8";"Moins de 18 ans : une pause de 30 min est obligatoire au-delà de 4h30 de travail";"Moins de 18 ans : une pause de 30 min est obligatoire au-delà de 4h30 de travail"
"F";"HR";"ANO";"0173";"8";"8";"Moins de 18 ans : travail entre 22h et 6h interdit sauf dérogation légale";"Moins de 18 ans : travail entre 22h et 6h interdit sauf dérogation légale"
"F";"HR";"ANO";"0177";"8";"8";"CP samedi non pris reportés";"CP samedi non pris reportés"
"F";"HR";"ANO";"0189";"9";"9";"Solde congés insuffisant pour transfert en don jours d'absence";"Solde congés insuffisant pour transfert en don jours d'absence"
"F";"HR";"ANO";"0228";"8";"8";"Solde congé supplémentaire insuffisant";"Solde congé supplémentaire insuffisant"
"F";"HR";"ANO";"0113";"6";"6";"Limitation du crédit/débit à sa valeur minimum";"Limitation du crédit/débit à sa valeur minimum"
"F";"HR";"ANO";"0191";"9";"9";"Solde CET insuffisant pour transfert en don jours d'absence";"Solde CET insuffisant pour transfert en don jours d'absence"
"F";"HR";"ANO";"0196";"8";"8";"Reliquat congé payé insuffisant";"Reliquat congé payé insuffisant"
"F";"HR";"ANO";"0156";"9";"9";"Solde CP insuffisant pour transfert en CET";"Solde CP insuffisant pour transfert en CET"
"F";"HR";"ANO";"0203";"5";"5";"Récupération et paiement de l'écart plafond FJ en fin de période uniquement";"Récupération et paiement de l'écart plafond FJ en fin de période uniquement"
"F";"HR";"ANO";"0209";"8";"8";"Solde délégation DS insuffisant";"Solde délégation DS insuffisant"
"F";"HR";"ANO";"0210";"8";"8";"La date de fin de mandat DFS est inférieure à la date de début";"La date de fin de mandat DFS est inférieure à la date de début"
"F";"HR";"ANO";"0216";"7";"7";"Dépassement du droit maximum CSE mensuel";"Dépassement du droit maximum CSE mensuel"
"F";"HR";"ANO";"0219";"7";"7";"La valeur du CSE transféré doit être un multiple de 4";"La valeur du CSE transféré doit être un multiple de 4"
"F";"HR";"ANO";"0220";"7";"7";"Le transfert doit se faire vers un matricule différent de celui du donateur";"Le transfert doit se faire vers un matricule différent de celui du donateur"
"F";"HR";"ANO";"0224";"7";"7";"Dépassement des droits maxi mensuel";"Dépassement des droits maxi mensuel"
"F";"HR";"ANO";"0105";"4";"4";"Ecrétage de la présence du jour";"Ecrétage de la présence du jour"
"F";"HR";"ANO";"0109";"5";"5";"Crédit de la période supérieur au seuil maximum";"Crédit de la période supérieur au seuil maximum"
"F";"HR";"ANO";"0103";"9";"9";"Employé absent sans justificatif";"Employé absent sans justificatif"
"F";"HR";"ANO";"0111";"5";"5";"Heures excédentaires en sortie";"Heures excédentaires en sortie"
"F";"HR";"ANO";"0115";"5";"5";"Absence de badgeages dans la coupure déjeuner, retrait du minimum";"Absence de badgeages dans la coupure déjeuner, retrait du minimum"
"F";"HR";"ANO";"0123";"5";"5";"Suppression d'un motif d'absence car badgeages";"Suppression d'un motif d'absence car badgeages"
"F";"HR";"ANO";"0130";"5";"5";"La durée hebdomadaire est supérieure au maximum";"La durée hebdomadaire est supérieure au maximum"
"F";"HR";"ANO";"0143";"5";"5";"Mission du lendemain annulée";"Mission du lendemain annulée"
"F";"HR";"ANO";"0151";"5";"5";"Crédit du temps de pause forfaitaire seconde plage";"Crédit du temps de pause forfaitaire seconde plage"
"F";"HR";"ANO";"0162";"5";"5";"Une pause de 20 minutes consécutives est obligatoire";"Une pause de 20 minutes consécutives est obligatoire"
"F";"HR";"ANO";"0166";"6";"6";"Moins de 18 ans : présence supérieure au maxi sauf si dérogation légale";"Moins de 18 ans : présence supérieure au maxi sauf si dérogation légale"
"F";"HR";"ANO";"0179";"8";"8";"Employé absent demi-journée sans justificatif";"Employé absent demi-journée sans justificatif"
"F";"HR";"ANO";"0184";"9";"9";"Solde congés enfant malade insuffisant";"Solde congés enfant malade insuffisant"
