REGLE;LIBELLE;ORDRE;ACTIVE;COMPIL;DATMOD;UTILMOD
"IACQCPAN1M";"Acquis. CPAN MULTI-SITES date réf. CP";"6240";"0";"0";18/09/2025;"HQS"
"ICONSRCP";"Conso des CP reportés en cas de maladie";"6310";"1";"1";18/09/2025;"HQS"
"IREPQUORED";"Repos quotidien réduit CCN Métallurgie";"7640";"0";"0";18/09/2025;"HQS"
"IACTMI";"Mise en place des motifs missions";"4620";"1";"1";18/09/2025;"HQS"
"IGCSEGLISS";"Délégations CSE sur 12 mois glissants";"5230";"1";"1";18/09/2025;"HQS"
"IFERIE";"Calcul des heures travaillees feriees";"6430";"1";"1";18/09/2025;"HQS"
"IDIMAN";"Calcul des heures de dimanche";"6410";"1";"1";18/09/2025;"HQS"
"ITTRAVMINE";"Gestion temps de travail moins de 18 ans";"7630";"1";"1";18/09/2025;"HQS"
"IPRIME";"Calcul des primes";"6500";"1";"1";18/09/2025;"HQS"
"IHSUPP";"Heures supplémentaires";"6600";"1";"1";18/09/2025;"HQS"
"IGRTTH";"Gestion RTT en heures";"6700";"1";"1";18/09/2025;"HQS"
"IVALAC";"Gestion des jours de validite";"4100";"1";"1";18/09/2025;"HQS"
"ISUPAC";"Suppression d'un motif si badgeage";"4200";"1";"1";18/09/2025;"HQS"
"IPENIB";"Pénibilité";"7700";"0";"0";18/09/2025;"HQS"
"IHNUIT";"Calcul des heures de nuit";"6400";"1";"1";18/09/2025;"HQS"
"ICOPIE";"Copie des valeurs internes dans HJOU";"2050";"1";"1";18/09/2025;"HQS"
"IACTIV";"Analyse des activites du jour";"4300";"1";"1";18/09/2025;"HQS"
"IMISSJ";"Mission jour en cours et suivants";"2100";"1";"1";18/09/2025;"HQS"
"IACTBA";"Activité badgée";"2150";"1";"1";18/09/2025;"HQS"
"IVALPA";"Valorisation des pauses";"4500";"1";"1";18/09/2025;"HQS"
"IEXCED";"Heures jour excedentaires";"2300";"1";"1";18/09/2025;"HQS"
"ICHEVM";"Stockage mvts pour crtl chevauchement";"2350";"1";"1";18/09/2025;"HQS"
"IPAUSE5PC";"Pause 5%";"4510";"1";"1";18/09/2025;"HQS"
"ICONGF";"Congés fractionnement";"6340";"1";"1";18/09/2025;"HQS"
"ICRPRO";"Credits automatiques";"2400";"1";"1";18/09/2025;"HQS"
"IMISSD";"Durée mission du lendemain";"4600";"1";"1";18/09/2025;"HQS"
"IPRESM";"Presence matin et apres-midi";"2450";"1";"1";18/09/2025;"HQS"
"IPAUSE";"Gestion des pauses";"2500";"1";"1";18/09/2025;"HQS"
"IMISSB";"Durée mission";"4610";"1";"1";18/09/2025;"HQS"
"IANALJ";"Analyse des journees";"2550";"1";"1";18/09/2025;"HQS"
"IPLGDYN";"Récupération des plages dynamiques";"2570";"1";"1";18/09/2025;"HQS"
"IPAUS5BADG";"Pause 5% badgée";"2580";"1";"1";18/09/2025;"HQS"
"IECRET";"Ecretement journalier";"4800";"1";"1";18/09/2025;"HQS"
"ICSEBADG";"Heures délégation CSE badgées au lecteur";"2650";"1";"1";18/09/2025;"HQS"
"IINITC";"Initialisation h. totales par consignes";"4900";"1";"1";18/09/2025;"HQS"
"IRETEN";"Absences plage obligatoire modifiables";"3100";"1";"1";18/09/2025;"HQS"
"IHREFF";"Heures effectives";"5100";"1";"1";18/09/2025;"HQS"
"FCTUTILES";"Fonctions utiles au développement";"2020";"1";"1";18/09/2025;"HQS"
"IGECET";"Gestion du CET";"7200";"1";"1";18/09/2025;"HQS"
"IVISITM";"Gestion des visites médicales";"7400";"1";"1";18/09/2025;"HQS"
"ITELETRAV";"Décompte des jours de télétravail";"7500";"1";"1";18/09/2025;"HQS"
"ICONTR";"Anomalies liees aux contraintes legales";"7620";"1";"0";18/09/2025;"HQS"
"IENFMALADE";"Congés enfant malade";"7300";"1";"1";18/09/2025;"HQS"
"IABSGAEV";"#HQA# Gestion absences (Evènem. -> abs.)";"3110";"0";"0";18/09/2025;"HQS"
"ITPSACTPTA";"#HQA# TPS PRES (Théo/pop<>sect/sem./SEH)";"5450";"0";"0";18/09/2025;"HQS"
"ICHEVA";"Contrôle chevauchement motifs";"3400";"1";"1";18/09/2025;"HQS"
"ITPSACTPTC";"#HQA# TPS PRES (Théo/pop<>sect/mois/SEH)";"5470";"0";"0";18/09/2025;"HQS"
"IGESRCCAL";"Calcul du RC Nouvelle-calédonie";"6800";"0";"0";18/09/2025;"HQS"
"ISTATI";"Statistiques et compteurs Explorer";"7600";"1";"1";18/09/2025;"HQS"
"ICPTPLANIF";"#PL-OP# Aide à la création des compteurs";"8000";"0";"0";18/09/2025;"HQS"
"ITPSACTPT1";"#HQA# TPS PRES (Théo/popu=sect/jour/EMP)";"4010";"0";"0";18/09/2025;"HQS"
"ITPSACTHT5";"#HQA# TPS PRES (H total/popu=sect/S/EMP)";"5480";"0";"0";18/09/2025;"HQS"
"ENTETE";"Entête de règle package PRIVE V16.3";"2000";"0";"0";18/09/2025;"HQS"
"LISEZMOI";"PARTICULARITES / POINTS VIGILANCE CLIENT";"2010";"0";"0";18/09/2025;"HQS"
"ITPSACTPT2";"#HQA# TPS PRES (Théo/pop<>sect/jour/EMP)";"4020";"0";"0";18/09/2025;"HQS"
"ITPSACTPT3";"#HQA# TPS PRES (Théo/popu=sect/jour/SEH)";"4030";"0";"0";18/09/2025;"HQS"
"ICOUPD";"Coupure déjeuner";"2200";"1";"1";18/09/2025;"HQS"
"ITPSACTPT4";"#HQA# TPS PRES (Théo/pop<>sect/jour/SEH)";"4040";"0";"0";18/09/2025;"HQS"
"IABSPL";"Absences plage obligatoire";"2250";"1";"1";18/09/2025;"HQS"
"IPAUSB";"Gestion des pauses badgées au lecteur";"2510";"0";"0";18/09/2025;"HQS"
"ITPSACTHT1";"#HQA# TPS PRES (H total/popu=sect/J/EMP)";"5000";"0";"0";18/09/2025;"HQS"
"ITPSACTHT2";"#HQA# TPS PRES (H total/pop<>sect/J/EMP)";"5010";"0";"0";18/09/2025;"HQS"
"ITPSACTHT3";"#HQA# TPS PRES (H total/popu=sect/J/SEH)";"5020";"0";"0";18/09/2025;"HQS"
"ITPSACTHT4";"#HQA# TPS PRES (H total/pop<>sect/J/SEH)";"5030";"0";"0";18/09/2025;"HQS"
"IVANAL";"Ventilation analytique";"5150";"0";"0";18/09/2025;"HQS"
"ITPSACTHT6";"#HQA# TPS PRES (H total/pop<>sect/S/EMP)";"5490";"0";"0";18/09/2025;"HQS"
"ITPSACTPT5";"#HQA# TPS PRES (Théo/popu=sect/sem./EMP)";"5400";"0";"0";18/09/2025;"HQS"
"ITPSACTPT6";"#HQA# TPS PRES (Théo/pop<>sect/sem./EMP)";"5410";"0";"0";18/09/2025;"HQS"
"IDELEG";"Délégations";"5200";"1";"1";18/09/2025;"HQS"
"ISOLDECP";"Gestion du solde des CP";"6390";"1";"1";18/09/2025;"HQS"
"ITPSACTPT7";"#HQA# TPS PRES (Théo/popu=sect/mois/EMP)";"5420";"0";"0";18/09/2025;"HQS"
"ITPSACTPT8";"#HQA# TPS PRES (Théo/pop<>sect/mois/EMP)";"5430";"0";"0";18/09/2025;"HQS"
"HQDEPLOY";"Install HQDEPLOY";"1001";"0";"0";28/02/2025;"111111"
