ECRAN;ONGLET;DONNEE;LIBELLE;DOMAINE
JOU;Droits délégations;IJIDACSEM;Droit annuel mandat theo CSE (H);HJOU
CFG;Seuils et dates de référence;IDIVHORCOH;Horaire hebdo temps plein;PARD
JOU;Prépaie;SJQPRAST;BE : Prime astreinte JL (5228);HJOU
JOU;Délégations;IJRCUPMCSE;Cumul pris CSE mensuel (H);HJOU
SEH;Données personnalisées;INSALA;Transfert paie;HJOU
EMP;Planification;IEIEMPRESS;Géré dans Ressources;EMPL
JOU;Délégations;IJRMPCSE;Pris CSE mensuel (H);HJOU
JOU;Compteurs journaliers;SJQHTENT3;Horaire entree 3;HJOU
EMP;Hiérarchie;SEILIBSELF;Libellé SELF;EMPL
EMP;Acquisition de droit au forfait;SEQDRJFN3;Droit RJF N-3;EMPL
JOU;Délégations;IJRMSCSE;Solde CSE mensuel (H);HJOU
ACT;Données personnalisées;SMIINFO;Information diverse;MOTI
JOU;Interface paie ADP;SJRJ005;Pris CP2 pour paie - J005;HJOU
ACT;Données personnalisées;SMICROSST;Saisie dans CrossTalent et interfacé;MOTI
CFG;Définition des motifs;SDIVMCSE;Motif délégation CSE;PARD
PRO;Données générales;SPITYPREP;Type de repos;PROF
JOU;Congés;IJRNBCPSAM;CP pris sur repos samedi (ouvrable);HJOU
CFG;Seuils et dates de référence;SDIDRCIMY;MO et YR : Droit RCI annuel;PARD
JOU;Congés;IJRSDONDIV;Don jours versé global annuel;HJOU
CFG;Données globales;SDIDATDEM;Date de démarrage PROD;CONF
JOU;Heures supplémentaires;SJQHS133;Indus : HS payées à 133% (5086);HJOU
JOU;Horoquartz;SJQMCP;Motif CP stocké sur maladie;HJOU
JOU;Prépaie;SJQP5221;MO : Supplément 1° service (5221);HJOU
JOU;RTT/Autres Récup;IJRARTTJOU;Droit RTT (J);HJOU
JOU;Options employé;IJIGBADGEA;Badgeant;HJOU
SEH;Données personnalisées;IJIGRETETR;Droit au RTT;SECH
CFG;Définition des motifs;SDIVMCOPRI;Congé payé référence pour la prise;PARD
JOU;Interface paie ADP;SJRYA15;Pris RTT/JRS sur période - 7058;HJOU
JOU;Compteurs journaliers;IJQPLGTOTJ;EVEN : Temps planifiés;HJOU
JOU;RTT/Autres Récup;SJRCJFF;Pris JFF;HJOU
CFG;Congés payés;SDIDCPRCCA;RC : Droit CP pour Cadre et AM;PARD
JOU;Délégations;SJRDDECIJP;Droit délégation CCIJP;HJOU
JOU;Congés reportés;SJRCPREP3;Pris CP reporté période 3;HJOU
JOU;Heures supplémentaires;SJRSHSREA;EV-Récup HS/HC Annuelle;HJOU
SEH;Données personnalisées;SSIGRJF;Droit au RJF;SECH
CFG;Seuils et dates de référence;IDINBRSAMD;Nombre de congés samedi à prendre;PARD
JOU;Horoquartz;SJRACQJRTT;Acquisition RTT mois (cumul);HJOU
JOU;Horoquartz;SJRDDEBCTR;Date début 1° contrat;HJOU
CFG;Gestion forfaits jours;SDIRTFJYR;YR : RTT annuel pour FJ;PARD
JOU;Prépaie;SJQPRRESP1;BE : Prime responsabilité sport (5229);HJOU
JOU;Prépaie;SJQHSP200;HS payées à 200% (0348);HJOU
CFG;Gestion forfaits jours;SDIRTFJPE;PE : RTT annuel pour FJ;PARD
EMP;Hiérarchie;SEIMATRH5;Matricule RH 5;EMPL
JOU;Délégations;IJRMDCSE10;Droit mensuel M-10 (H);HJOU
JOU;RTT/Autres Récup;SJRDREP;Droit Journée REP;HJOU
CFG;Gestion forfaits jours;SDICFJPC;PC : Cible FJ annuel;PARD
CFG;Seuils et dates de référence;IDIHCTAUX1;HC taux 1 (%);PARD
CFG;Définition des motifs;SDIVMHSUPR;Déclaration HS à récupérer;PARD
EMP;Hiérarchie;SEIMATRH2;Matricule RH 2;EMPL
ACT;Données personnalisées;SMIABATRTT;Participe à l'abattement RTT, RJF et PFI;MOTI
JOU;Compteurs journaliers;SJQHTSOR1;Horaire sortie 1;HJOU
ACT;Données personnalisées;SMIABPBON;Pénalise acquis. Hrs bonificaiton;MOTI
JOU;RTT/Autres Récup;SJRDRD;Droit récup. dimanche;HJOU
JOU;Heures supplémentaires;SJQHS150I;Indus : HS payées à 150% (7086);HJOU
JOU;RTT/Autres Récup;SJRCJTR;Pris J. Trimestrielle;HJOU
SEH;Données personnalisées;INSALA;Transfert paie;SECH
ACT;Données personnalisées;SMIABATCP;Participe à l'abattement CP;MOTI
