ECRAN;ONGLET;DONNEE;LIBELLE;DOMAINE
JOU;Heures supplémentaires;SJQHSP200;HS payées à 200% (0348);HJOU
CFG;Paramètres généraux;IDIGDPAUSM;Déduction coupure maximum;PARD
JOU;Horoquartz;SJQDEBC;Début de contrat;HJOU
JOU;Compteurs périodiques;IJRTTEFFEM;Heures effectives période;HJOU
JOU;Options employé;IJIGRETETR;Droit au RTT;SECH
SEH;Données personnalisées;IJIGCDTYPP;Période de traitement;HJOU
CFG;Définition des motifs;SDIVMINTA;Intervention sur astreinte;PARD
JOU;Heures supplémentaires;IJQHS1MAPA;Heures sup 25% (7085);HJOU
JOU;Délégations;IJRMDCSE3;Droit mensuel M-3 (H);HJOU
ACT;Données personnalisées;IMIGHRPAYE;Participe aux heures payées;MOTI
CFG;Définition des motifs;SDIVIMTT;Evènement indiquant collaborateur en MTT;PARD
JOU;Heures supplémentaires;SJQHS5087;MO : Hrs majorées à 25% (CDD) (5087);HJOU
CFG;Seuils et dates de référence;SDIDPFIARC;RC : Droit PFI annuel;PARD
JOU;Compteurs hebdomadaires;IJRNJPRESH;Nbre de jours de présence hebdomadaires;HJOU
CFG;Seuils et dates de référence;SDIPERCOM;Maximum de jour alimentant PERCO/an;PARD
JOU;Prépaie;SJQHNUIP15;Support : Majo hrs nuit 16% (0264);HJOU
JOU;Délégations;IJRMDCSE;Droit CSE mensuel (H);HJOU
CFG;Seuils et dates de référence;SDIDPFIAYR;YR : Droit PFI annuel;PARD
JOU;RTT/Autres Récup;SJRDJTR;Droit J. Trimestrielle;HJOU
EMP;Hiérarchie;SEIMATRH4;Matricule RH 4;EMPL
CFG;Définition des motifs;SDIVMTT;Télétravail;PARD
CFG;Congés payés;SDIDCPMOC;MO : Droit CP pour Cadre;PARD
JOU;Congés reportés;SJRSPREP4;Solde CP reporté période 4;HJOU
JOU;Congés;SJRDATANCC;Date ancienneté suite chgt.;HJOU
EMP;Hiérarchie;SEIROLMA;Est un manager ?;EMPL
JOU;Horoquartz;SJQACRTT;Acquis RTT jour;HJOU
JOU;Options employé;SJQFORFJR;Forfait jour(0: Non /1: Oui);HJOU
JOU;Compteurs journaliers;IJQTT;Jour télétravail;HJOU
CFG;Seuils et dates de référence;SDISHSMTX3;Seuil HS industrie taux 3;PARD
HOR;Données générales;SHIPOIDCP;Poids de consommation d'un CP;HORC
CTR;Données du contrat;SCISTATUT;Statut;CTRA
JOU;Horoquartz;SJRJOURA;Jour de la période d'acquisition;HJOU
HOR;Données générales;SHIABAJR;Nbres jours RTT à réduire;HORC
JOU;Gestion du CET;SJRNCPCETA;CP mis dans le CET annuel;HJOU
JOU;Délégations;SJRCDECIJP;Pris délégation CCIJP;HJOU
CTR;Données du contrat;SCIFORFJ;Forfait jour;CTRA
JOU;Droits délégations;IJIDFIN;Fin de mandat délégation CSE;HJOU
JOU;Interface paie ADP;SJRI045;Droit CP1 pour paie - I045 (10°);HJOU
JOU;Congés;IJRPACQCP;Pris CP en cours d'acquis.;HJOU
JOU;Congés;SJRCGCONGE;Pris global des congés;HJOU
JOU;Congés;SJRCCMDF;Pris C. mère/père de famill;HJOU
JOU;Gestion du CET;SJRNRTCETA;RTT mis dans le CET annuel;HJOU
JOU;RTT/Autres Récup;SJRCRJF;Pris RJF;HJOU
CFG;Gestion forfaits jours;SDIRTFJHE;HE : RTT annuel pour FJ;PARD
SEH;Données personnalisées;IJIGHSUPPR;Modalité HS;HJOU
JOU;Prépaie;SJRHNUIPEV;EV/PE : Cumul majo. hrs nuit payées;HJOU
SEH;Données personnalisées;IJIGCDTYPP;Période de traitement;SECH
JOU;Heures supplémentaires;SJRSHSRE1;EV-Récup HS/HC Cycle Précédent;HJOU
JOU;RTT/Autres Récup;SJRABPFA;PFI réduit (J);HJOU
EMP;Acquisition de droit au forfait;SEIDATFCN3;Date fin ACQ N-3;EMPL
EMP;Compteurs Prévisionnels;SEQCRJF;Pris prév. RJF;EMPL
CFG;Gestion forfaits jours;SDISEUILAB;Seuil d'absences pour abattement RTT FJ;PARD
ACT;Données personnalisées;IMIGHNUITT;Maintien des heures de nuit;MOTI
JOU;RTT/Autres Récup;SJRSRJF;Solde RJF;HJOU
SEH;Données personnalisées;SSIGRCI;Droit au RCI;SECH
EMP;Gestion de véhicules;IEIIMMATRI;Immatriculation;EMPL
EMP;Gestion des alertes;IEIMAXANNU;Maximum annuel;EMPL
JOU;Délégations;IJRAPCSE;Pris CSE annuel (H);HJOU
JOU;Heures supplémentaires;IJRSJDISP4;Flag HS non validé > 0jrs;HJOU
CFG;Seuils et dates de référence;SDIDRJFPC;PC : Droit RJF annuel;PARD
JOU;Horoquartz;SJQFINC;Fin de contrat;HJOU
JOU;Prépaie;SJQP5198;RC : Prime nuit sport (5198);HJOU
JOU;Délégations;IJRMDCSE5;Droit mensuel M-5 (H);HJOU
JOU;Prépaie;IJRCHDISP2;PO : Heures de nuit (5233);HJOU
CFG;Gestion forfaits jours;SDICFJVHJ;VH : Cible FJ annuel - Journaliste;PARD
CFG;Définition des motifs;SDIVMCMDF;Congé mère et père de famille;PARD
JOU;Options employé;SJQOUVRABL;Gestion en ouvrable (N:Non,O: Oui);HJOU
JOU;Congés reportés;SJRSPREP3;Solde CP reporté période 3;HJOU
EMP;Acquisition de droit au forfait;SEIDATACQ2;Date ACQ N-2;EMPL
CFG;Gestion forfaits jours;SDICFJPE;PE : Cible FJ annuel;PARD
JOU;Délégations;IJRMDCSE11;Droit mensuel M-11 (H);HJOU
JOU;Compteurs journaliers;IJQPRESNBJ;Activités créditées;HJOU
JOU;Congés;IJRSGCONGE;Solde global des congés;HJOU
JOU;Heures supplémentaires;SJQHS150N;Indus:HS payées 150% de nuit (5092/5192);HJOU
CFG;Congés payés;SDIDCPPU;PU : Droit CP par Défaut;PARD
CFG;Seuils et dates de référence;SDIDRJFMOJ;MO : Droit RJF annuel - Journaliste;PARD
CFG;Définition des motifs;SDIVMCPR3;CP reporté période 3;PARD
CFG;Définition des motifs;SDIVMDH;Motif DH;PARD
JOU;Prépaie;SJQSUP0418;MO: Supplément sur RD, RJF et DEL (0418);HJOU
EMP;Acquisition de droit au forfait;SEIDATFIN;Date fin historique;EMPL
JOU;Congés reportés;IJRSACQCP;Solde CP en cours acquis.;HJOU
JOU;Options employé;SJIINREDA;A envoyer à l'agenda rédactionnel;HJOU
SEH;Données personnalisées;SSIGRD;Droit au RD;SECH
CTR;Données du contrat;ICITAUX;Taux;CTRA
JOU;Compteurs périodiques;IJRNJPRESP;Nbre de jours de présence mensuel;HJOU
JOU;Compteurs journaliers;SJQHTENT1;Horaire entrée 1;HJOU
CFG;Congés payés;SDIDCPMO;MO : Droit CP par Défaut;PARD
JOU;Suivis des forfaits jours;SEQJTRAVT;Nbre jours travaillés annuel prév. (J);EMPL
JOU;Prépaie;SJQAST5239;Paiement astreinte JL (5239);HJOU
JOU;Congés;IJRDCOFRAC;Droit C. fractionnement;HJOU
EMP;Acquisition de droit au forfait;SEQDRJFN;Droit RJF N;EMPL
JOU;Prépaie;IJQHNUITTO;Heures de nuit (informatif);HJOU
JOU;Heures supplémentaires;IJRBHSMPAH;Base HS;HJOU
EMP;Acquisition de droit au forfait;SEIDATACQN;Date ACQ N;EMPL
JOU;Délégations;IJRASCSE;Solde CSE annuel (H);HJOU
JOU;Congés;SJRDANCACQ;Droit C. ancienneté avt chgt.;HJOU
JOU;Gestion du CET;SJRDRCET;Droit CET;HJOU
CFG;Seuils et dates de référence;SDISHSMTX2;Seuil HS industrie taux 2;PARD
EMP;Acquisition de droit au forfait;SEQDRJFN1;Droit RJF N-1;EMPL
JOU;Options employé;IJIGRETETR;Droit au RTT;HJOU
CTR;Données du contrat;SCQMATPAIE;Matricule paie ADP (calculé);CTRA
JOU;Compteurs hebdomadaires;IJRPRESNBH;Activités créditées hebdomadaires;HJOU
JOU;Options employé;SJQDRCPAN;Droit CP annuel;HJOU
CFG;Gestion forfaits jours;SDICFJPO;PO : Cible FJ annuel;PARD
JOU;Options employé;IJIACOPRIN;Gestion acquis congé payé;HJOU
JOU;Options employé;INSALA;Transfert paie;SECH
JOU;Prépaie;SJQHJF;Heures de fériés (0356);HJOU
JOU;Congés reportés;SJRDAENAT;Date envoie attestation suite reprise;HJOU
JOU;Interface paie ADP;SJRI001;Droit CP1 pour paie - I001;HJOU
JOU;Prépaie;SJQPRJCFIW;IR : Prime WE travaillé (5245);HJOU
JOU;Compteurs hebdomadaires;IJRPRETHEH;Théorie hebdomadaire;HJOU
JOU;Options employé;IJITYPCTRA;Temps de travail (%);HJOU
JOU;Congés;SJRSCMDF;Solde C. mère/père de famill;HJOU
JOU;Options employé;IJIGHSUPPM;Régime HS / HC;HJOU
CFG;Définition des motifs;IDIVMCOANT;CP en cours acquisition référence;PARD
JOU;Horoquartz;SJRCPTP;Motif CP la veille;HJOU
CFG;Paramètres généraux;IDIGPRIBAD;Suppression activité si badgeage;PARD
JOU;Horoquartz;SJRNBJOUVM;Nombres de jours ouvrés sur le mois;HJOU
JOU;Congés reportés;SJRCPREP2;Pris CP reporté période 2;HJOU
JOU;Plages;IJQPLGAPM;Durée des plages après-midi;HJOU
CFG;Gestion forfaits jours;SDIRTFJMOA;MO : RTT annuel pour FJ - Agent maitrise;PARD
CFG;Seuils et dates de référence;SDIDPERCO1;Début période alimentation N°1 PERCO;PARD
JOU;Compteurs journaliers;IJQHNUITTO;Heures de nuit (informatif);HJOU
EMP;Protecsys;IEIPRTNIV3;Protecsys niveau 3;EMPL
JOU;Prépaie;SJQHBONIF;Heures de Bonification JL (5088);HJOU
JOU;Prépaie;IJQHJFTRAV;Heures fériées (informatif);HJOU
JOU;Congés reportés;IJRSCOPRIN;Solde CP acquis (CP2);HJOU
CFG;Gestion forfaits jours;SDICFJMOA;MO : Cible FJ annuel - Agent maitrise;PARD
EMP;Acquisition de droit au forfait;SEQDRJFN9;Droit RJF N+1;EMPL
CFG;Définition des motifs;SDIVMJFF;Motif JFF;PARD
JOU;Délégations;IJRCDELDFS;Pris délégation RSCE;HJOU
EMP;Acquisition de droit au forfait;SEIDATACQ9;Date ACQ N+1;EMPL
CFG;Congés payés;SDIDCPJC;JC : Droit CP par Défaut;PARD
CFG;Définition des motifs;SDIVMRCI;Motif RCI;PARD
ACT;Données personnalisées;IMIGCHEVAU;Contrôle chevauchement;MOTI
JOU;Horoquartz;SJRABSJTR;Nbres jours d'absences au trimestre;HJOU
JOU;Horoquartz;SJROBJFJA;Cible jour à travailler théo FJ annuel;HJOU
JOU;Suivis des forfaits jours;SEQCRTTFJ;RTT reste à prendre sur l'année pour FJ;EMPL
JOU;Options employé;IJIGCDTYPP;Période de traitement;HJOU
JOU;RTT/Autres Récup;SJRCREP;Pris Journée REP;HJOU
JOU;Heures supplémentaires;IJQHSNMAPA;Heures complémentaires à 10% (8128);HJOU
EMP;Compteurs Prévisionnels;IEQSPDISP3;Solde prév. RCN;EMPL
JOU;RTT/Autres Récup;SJRSRCN;PO : Solde du RC de nuit (J);HJOU
EMP;Compteurs Prévisionnels;SEQSCPREPW;Solde prév. CP reporté;EMPL
JOU;Horoquartz;IJRSJDISP2;Recup EV - Top cycle en cours;HJOU
JOU;RTT/Autres Récup;IJRCRTTJOU;Pris RTT (J);HJOU
JOU;Délégations;IJRMDCSE6;Droit mensuel M-6 (H);HJOU
JOU;Délégations;IJRADCSE;Droit CSE annuel réel (H);HJOU
JOU;Compteurs journaliers;SJQHTSOR5;Horaire sortie 5;HJOU
JOU;Congés;IJRSCOANCI;Solde C. ancienneté;HJOU
CFG;Congés payés;SDIDCPPO;PO : Droit CP par Défaut;PARD
CFG;Seuils et dates de référence;IDIHSTAUX2;HS taux 2 (%);PARD
JOU;Prépaie;SJQPRAST1;EC : Prime astreinte JL (5257);HJOU
CFG;Congés payés;SDIDCPMAC;MA : Droit CP pour Cadre;PARD
JOU;Congés;IJRCCOFRAC;Pris C. fractionnement;HJOU
JOU;Compteurs hebdomadaires;SJRTTH;Jour en télétravail hebdo;HJOU
JOU;Droits délégations;SJIDCIJP;Droit mensuel délégation CCIJP;HJOU
CTR;Données du contrat;SCISOCIETE;Code société;CTRA
JOU;Horoquartz;SJQEMPABS;Collabotateur absent;HJOU
JOU;Interface paie ADP;SJRI012;Solde CP1 pour paie - I013;HJOU
JOU;Délégations;IJRATCSE;Transfert CSE annuel (H);HJOU
EMP;Protecsys;IEIPRTNIV2;Protecsys niveau 2;EMPL
JOU;Horoquartz;SJRABPBOH;Abs pénalisant la bonification hebdo;HJOU
EMP;Compteurs Prévisionnels;SEQSACQCPW;Solde prév. CP en cours acquisition;EMPL
CFG;Définition des motifs;SDIVPRES;Déclaration présence jour;PARD
JOU;Interface paie ADP;SJRY596;Pris CP2 bascule - Y596;HJOU
CFG;Définition des motifs;SDIVMCPR4;CP reporté période 4;PARD
CFG;Gestion forfaits jours;SDIRTFJRC;RC : RTT annuel pour FJ;PARD
JOU;Congés reportés;SJQFLATTCP;Flag envoie attestation suite reprise;HJOU
JOU;Compteurs journaliers;IJQNJTRAVJ;Jour travaillé;HJOU
SEH;Données personnalisées;SSICSUPF;Droit au CSUP de fabrication;SECH
JOU;RTT/Autres Récup;SJRCRD;Pris récup. dimanche;HJOU
JOU;Options employé;INSALA;Transfert paie;HJOU
JOU;Interface paie ADP;SJQABSSTG;Heures absences stagiaires pour paie;HJOU
JOU;Interface paie ADP;SJRY599;Pris CP2 période - Y599;HJOU
JOU;Compteurs hebdomadaires;IJRNJTRAVH;Nbre de jours travaillés hebdomadaires;HJOU
CFG;Définition des motifs;SDIVMMTT;Motif MTT;PARD
JOU;Interface paie ADP;SJRDGCONGE;Droit global CP (J001+J002+J026+J031);HJOU
JOU;Délégations;IJRDDELDFS;Droit délégation RSCE;HJOU
JOU;Heures supplémentaires;SJQHMAJO50;Heures majorées à 50% (7407);HJOU
JOU;Prépaie;SJQPDI0411;MO : Prime dimanche - CDD roto (0411);HJOU
EMP;Hiérarchie;SEIMATMANF;Matricule Manager + Forcé;EMPL
CFG;Seuils et dates de référence;SDICPCETES;ES : CP maximum alimentant le CET/an;PARD
CFG;Seuils et dates de référence;SDIMOICPR;Nombre de mois de report des CP;PARD
JOU;Délégations;SJRSCSER;Solde CSE reliquat (H);HJOU
JOU;Heures supplémentaires;IJQHS1MARE;Heures sup 25% à récup.;HJOU
CTR;Données du contrat;SCIDATSTC;Date de solde tout compte;CTRA
CFG;Gestion forfaits jours;SDIRTFJEC;EC : RTT annuel pour FJ;PARD
CFG;Gestion forfaits jours;SDIRTFJMO;MO : RTT annuel pour FJ;PARD
JOU;Prépaie;SJQJJF;MO : Maint -Jour férié travaillé (5335);HJOU
JOU;Horoquartz;IJRDJDISP1;Dimanche travaillé (J);HJOU
CFG;Seuils et dates de référence;IDIENFMAL1;Droit enfant malade;PARD
JOU;Prépaie;SJRJASTC;Jours Astreinte consécutif;HJOU
EMP;Compteurs Prévisionnels;SEQCDH;Pris prév. DH;EMPL
JOU;Interface paie ADP;SJRJ045;Droit CP2 pour paie - J045 (10°);HJOU
JOU;Heures supplémentaires;SJQHS200NY;YR : HS payées à 200% de nuit (0354);HJOU
EMP;Compteurs Prévisionnels;SEQCCPA;Pris prév. CP en cours acquis.;EMPL
JOU;Compteurs périodiques;IJRPRESNBM;Activités créditées période;HJOU
JOU;RTT/Autres Récup;SJRSRDH;Solde RD historique;HJOU
JOU;Heures supplémentaires;IJQHS2MARE;Heures sup 50% à récup.;HJOU
JOU;Prépaie;SJQAST5240;Paiement inter. astreinte JL (5240);HJOU
EMP;Compteurs Prévisionnels;SEQSPRDEC;Nombres de repos décalés prév.;EMPL
CFG;Gestion forfaits jours;SDIRTFJES;ES : RTT annuel pour FJ;PARD
JOU;Heures supplémentaires;SJQHS133N;Indus:HS payées 133% de nuit (5091/5191);HJOU
JOU;Options employé;IJIACOPRIN;Gestion acquis congé payé;SECH
JOU;Compteurs périodiques;IJRTHEOCYC;Theorie du cycle;HJOU
JOU;Compteurs annuels;IJRNJTRAVA;Nbre de jours travaillés annuel;HJOU
JOU;Suivis des forfaits jours;SEQCCPFJ;CP reste à prendre sur l'année pour FJ;EMPL
JOU;Congés reportés;SJRDAFREP2;Date fin de report CP période 2;HJOU
JOU;Heures supplémentaires;SJQHS200NM;MO: HS payées à 200% de nuit (5323/5193);HJOU
JOU;RTT/Autres Récup;SJRSJFF;Solde JFF;HJOU
EMP;Hiérarchie;SEIMATRH7;Matricule RH 7;EMPL
CFG;Congés payés;SDIDCPES;ES : Droit CP par Défaut;PARD
JOU;Prépaie;SJQP5218;Prime Remplacement/Vacation (5218);HJOU
JOU;RTT/Autres Récup;SJRDPFI;Droit Journée PFI;HJOU
JOU;Heures supplémentaires;IJQHRNMARE;Heures sup. récupérées non majorées;HJOU
JOU;Délégations;SJRSDECIJP;Solde délégation CCIJP;HJOU
JOU;Congés;IJRSDONABS;Solde jours d'absences sur don;HJOU
JOU;RTT/Autres Récup;SJRSREP;Solde Journée REP;HJOU
JOU;Horoquartz;IJRCPTJTRA;Jours ouvrés pr acquis CP légal;HJOU
JOU;Gestion du CET;SJRCOCET;Pris CET;HJOU
JOU;RTT/Autres Récup;SJRDRJF;Droit RJF;HJOU
EMP;Acquisition de droit au forfait;SEIDATACQ3;Date ACQ N-3;EMPL
EMP;Hiérarchie;SEQROLEC;Rôle calculer;EMPL
JOU;Horoquartz;SJRACQRJF;Acquis RJF annuel intermédiaire;HJOU
JOU;Suivis des forfaits jours;SEQECARFJA;Ecart annuel forfait jour prév. (J);EMPL
EMP;Acquisition de droit au forfait;SEIDATFCN5;Date fin ACQ N-5;EMPL
JOU;Options employé;SJQCATEGOR;Catégorie;HJOU
EMP;Hiérarchie;SEIMATRH6;Matricule RH 6;EMPL
CFG;Définition des motifs;SDIVMRSCE;Motif délégation RSCE;PARD
JOU;Horoquartz;SJRABRTTM;Abattement RTT mois;HJOU
JOU;Horoquartz;SJRACQPFIM;Acquisitoin PFI mois (cumul);HJOU
JOU;Heures supplémentaires;SJRHSRECUP;HS récupérées saisies sur période;HJOU
JOU;RTT/Autres Récup;SJRSRCI;Solde RCI;HJOU
SEH;Données personnalisées;IJIGHSUPPM;Régime HS / HC;HJOU
EMP;Compteurs Prévisionnels;SEQSPREP;Solde prév. REP;EMPL
JOU;RTT/Autres Récup;SJRDJFF;Droit JFF;HJOU
JOU;Délégations;IJRDDELEDS;Droit délégation DS;HJOU
JOU;Options employé;SJQINSALA;A envoyer dans interface paie standard;HJOU
JOU;Interface paie ADP;SJRJ012;Solde CP2 pour paie - J013;HJOU
CFG;Paramètres généraux;SDIGESTHS;Appréciation des HS;PARD
CFG;Seuils et dates de référence;IDIMAJOCSE;Taux de majoration maxi droit CSE;PARD
CFG;Seuils et dates de référence;SDIDPERCO2;Début période alimentation N°2 PERCO;PARD
CFG;Gestion forfaits jours;IDIVDDISP1;YR : Cible FJ annuel - Journaliste;PARD
CFG;Congés payés;SDIDCPRCJ;RC : Droit CP pour Journaliste;PARD
JOU;RTT/Autres Récup;SJRCDH;Pris DH;HJOU
JOU;Horoquartz;SJRNABSPFI;Nbres absences abat PFI sur année;HJOU
PRO;Données générales;SPIAFF1;Affichage libre N°1;PROF
EMP;Paramétrage individuel;SEIANCYR;Ancien contrat société YR;EMPL
CFG;Gestion forfaits jours;SDICFJPCA;PC : Cible FJ annuel - Agent maitrise;PARD
EMP;Gestion de véhicules;IEIMODELE;Modèle de véhicule;EMPL
ACT;Données personnalisées;SMISOCIETE;Société du matricule à créditer CSE;MOTI
JOU;Délégations;IJRCDELEDS;Pris délégation DS;HJOU
EMP;Hiérarchie;SEIROLEF;Rôle forcer;EMPL
CFG;Définition des motifs;SDIVMASTR;Astreinte;PARD
JOU;Droits délégations;SJIDFRSCE;Fin de mandat délégation RSCE;HJOU
CFG;Seuils et dates de référence;SDIHREFFJ;Heures références d'un forfait jour;PARD
JOU;Congés;IJRCCOPRIN;Pris CP acquis;HJOU
JOU;RTT/Autres Récup;IJRNDIMTRA;Nbre de dimanche travaillés annuel;HJOU
SEH;Données personnalisées;IJIGBADGEA;Badgeant;SECH
CFG;Congés payés;SDIDCPJCCA;JC : Droit CP pour Cadre et AM;PARD
JOU;Prépaie;SJQHNUIEMP;Indus : Hrs nuit variable employé (5199);HJOU
JOU;Prépaie;SJQP0417;MO : Supplément conducteur (0417);HJOU
JOU;Congés reportés;SJRCPREP4;Pris CP reporté période 4;HJOU
CFG;Définition des motifs;SDIVMRJF;Motif RJF;PARD
JOU;Suivis des forfaits jours;SJRTRAREP;Solde jours trav. sur Repos ou JF à date;HJOU
HOR;Données générales;SHIHOREF;Horaires de réf pour la paie (JL);HORC
JOU;Congés;IJRSDONCP;Don jours de CP versé annuel;HJOU
JOU;Suivis des forfaits jours;SEQECARFJT;Ecart forfait jour prév. (J) + CP/RTT;EMPL
JOU;Horoquartz;IJRCJDISP4;Collaborateur absent ou en repos;HJOU
JOU;Horoquartz;SJQMODANC;Mode acquisition des C. ancienneté;HJOU
CFG;Définition des motifs;IDIVMRTTSA;Motif RTT;PARD
PRO;Données générales;IPIGHNUIMA;Maintien des heures de nuit;PROF
JOU;Interface paie ADP;SJRY598;Pris CP1 période - Y598;HJOU
HOR;Données générales;SHITNUIT;Horaires de nuit habituel;HORC
CFG;Seuils et dates de référence;SDIDJREPRC;RC : Droit journée REP annuel;PARD
JOU;RTT/Autres Récup;SJRSRDECR;Nombres de repos décalés reportés (J);HJOU
JOU;Congés reportés;SJRDPREP4;Droit CP reporté période 4;HJOU
JOU;Interface paie ADP;SJRY595;Pris CP1 bascule - Y595;HJOU
JOU;Horoquartz;SJRDATCRE;Date de 1° jour d'arrêt;HJOU
JOU;Délégations;IJRSDELDFS;Solde délégation RSCE;HJOU
JOU;RTT/Autres Récup;SJRRECDSIJ;DSI : Récupération sur weekend;HJOU
JOU;Congés reportés;SJRCPREP1;Pris CP reporté période 1;HJOU
EMP;Acquisition de droit au forfait;SEIDATFCN;Date fin ACQ N;EMPL
JOU;Options employé;SJIDATANCF;Date ancienneté suite chgt. forcé;HJOU
JOU;Interface paie ADP;IJRNJTRAVA;Nbre de jours travaillés annuel - D141;HJOU
JOU;Délégations;IJRMDCSE8;Droit mensuel M-8 (H);HJOU
JOU;Compteurs annuels;IJRNJPRESA;Nbre de jours de présence annuel;HJOU
CTR;Données du contrat;SCICONV;Convention collective;CTRA
JOU;Délégations;IJRMDCSE4;Droit mensuel M-4 (H);HJOU
CFG;Seuils et dates de référence;SDIHSTAUX2;HS industrie taux 2 (%);PARD
JOU;Heures supplémentaires;IJQHRNMAPA;Heures sup. payées non majorées;HJOU
CFG;Seuils et dates de référence;IDIENFMAL2;Droit enfant malade 2 enfants et plus;PARD
CFG;Paramètres généraux;IDIGNPAUSM;Contrôle de la pause déjeuner;PARD
JOU;Horoquartz;SJRJOUR1;Nombres contrats consécutif;HJOU
JOU;Compteurs hebdomadaires;IJRTTEFFEH;Heures effectives hebdomadaires;HJOU
EMP;Gestion de véhicules;IEIDATECTR;Date du prochain contrôle technique;EMPL
EMP;Hiérarchie;SEIMATMANA;Matricule Manager;EMPL
CFG;Congés payés;SDIDCPJCJ;JC : Droit CP pour Journaliste;PARD
EMP;Acquisition de droit au forfait;SEIDATACQ4;Date ACQ N-4;EMPL
CFG;Définition des motifs;SDIVMRDEC;Motif repos décalé;PARD
N/D;N/D;HDEB;Heure de début;ACTI
N/D;N/D;HFIN;Heure de fin;ACTI
N/D;N/D;CODELIEU;Lieu du poste;ACTI
N/D;N/D;CODEQUAL;Qualification du poste;ACTI
N/D;N/D;NOVAC;Numéro de vacation;ACTI
N/D;N/D;FIXE;Affectation figée;ACTI
N/D;N/D;VALIDE;Affectation validée;ACTI
N/D;N/D;PRISPOST;Temps de prise de poste;ACTI
N/D;N/D;FINPOST;Temps de fin de poste;ACTI
N/D;N/D;DURAFF;Durée affectation;ACTI
N/D;N/D;HORCHOISI;Affectation temps choisi;ACTI
N/D;N/D;CODEQUART;Code quart;ACTI
N/D;N/D;OCCU;Code occu;AFFE
N/D;N/D;LIBELLE;Libellé;AFFE
N/D;N/D;LIBCOURT;Libellé court;AFFE
N/D;N/D;DATDEB;Date de début;AFFE
N/D;N/D;DATFIN;Date de fin;AFFE
N/D;N/D;ABREV;Abrev occu;AFFE
N/D;N/D;ATTRIB;Code attribution;ATTR
N/D;N/D;OCCU;Code occu;BESN
N/D;N/D;LIBELLE;Libellé;BESN
N/D;N/D;LIBCOURT;Libellé court;BESN
N/D;N/D;DATDEB;Date de début;BESN
N/D;N/D;DATFIN;Date de fin;BESN
N/D;N/D;ABREV;Abrev occu;BESN
N/D;N/D;MATRI;Code matricule;CADM
N/D;N/D;DATDEB;Date de début;CADM
N/D;N/D;DATEFFET;Date d'effet;CADM
N/D;N/D;DATFIN;Date de fin;CADM
N/D;N/D;NUMCONTRAT;Numéro de contrat;CADM
N/D;N/D;TYPCTRA;Type de contrat admin./période d'emploi;CADM
N/D;N/D;MOTIFJUS;Motif de justification;CADM
N/D;N/D;DATPESSAI;Date de fin période d'essai;CADM
N/D;N/D;DATCARENCE;Date délai de carence;CADM
N/D;N/D;IGIDLSTEXP;Date de dernier export du réglementaire;CONF
N/D;N/D;CODECRIT;Code critère;CRIT
N/D;N/D;DATDEB;Date de début;CRIT
N/D;N/D;DATFIN;Date de fin;CRIT
N/D;N/D;DATE;Date;CRPL
N/D;N/D;HREDEB;Heure de début de plage;CRPL
N/D;N/D;HREFIN;Heure de fin de plage;CRPL
N/D;N/D;DURAFF;Durée affectation;CRPL
N/D;N/D;REMPLACE;Indicateur remplace;CRPL
N/D;N/D;VALORIS;Code valorisation;CRPL
N/D;N/D;REMPLACANT;Indicateur remplaçant;CRPL
N/D;N/D;DATFIN;Date de fin;CTRA
N/D;N/D;DATDEB;Date de début;CTRA
N/D;N/D;TYPCTRA;Type de contrat admin./période d'emploi;CTRA
N/D;N/D;CTRHORA;Code horaire du contrat;CTRA
N/D;N/D;CTRRG;Rang code horaire contrat;CTRA
N/D;N/D;BASEMINI;Base mini contrat;CTRA
N/D;N/D;BASEMAXI;Base maxi contrat;CTRA
N/D;N/D;BASECONT;Base du contrat;CTRA
N/D;N/D;BASEDROG;Base dérogée contrat;CTRA
N/D;N/D;TYPEPLAN;Type de planification;CTRA
N/D;N/D;DATCARENCE;Date délai de carence;CTRA
N/D;N/D;PLANNUEL;Régime d'annualisation;CTRA
N/D;N/D;VIRTUEL;Provisoire;CTRA
N/D;N/D;ICIPERIODE;Date de fin de période d'essai;CTRA
N/D;N/D;ICIQUALIF;Qualification;CTRA
N/D;N/D;ICRSNUITTR;Seuil nuits travaillée;CTRA
N/D;N/D;ICRSJFTRAV;Seuil jours fériés travaillés;CTRA
N/D;N/D;ICRSWETRAV;Seuil Nombre Week-end travaillés;CTRA
N/D;N/D;ICINUMCONT;N° de contrat (Peoplenet);CTRA
N/D;N/D;ICICARACTE;Caractéristique;CTRA
N/D;N/D;ICIDEROGTP;Dérogation minimum légal temps partiel;CTRA
N/D;N/D;ICIGRPEMPL;Groupe d'emploi;CTRA
N/D;N/D;OCCU;Code occu;DISP
N/D;N/D;LIBELLE;Libellé;DISP
N/D;N/D;LIBCOURT;Libellé court;DISP
N/D;N/D;DATDEB;Date de début;DISP
N/D;N/D;DATFIN;Date de fin;DISP
N/D;N/D;ABREV;Abrev occu;DISP
N/D;N/D;PROFIL;Code profil horaire;DISP
N/D;N/D;DISPO;Code dispo;DISP
N/D;N/D;TVALORIS;Valorisations autorisées;DISP
N/D;N/D;SAISIEHR;Saisie des heures;DISP
N/D;N/D;AREMPL;A remplacer;DISP
N/D;N/D;NOMRED;Nom abrégé de l'Employé;EMPL
N/D;N/D;MATRI;Code matricule;EMPL
